Size,BHK,Bathroom,City,FurnishingStatus,AreaType,Rent
630,2,1,Kolkata,Semi-Furnished,Carpet Area,7200
1500,3,2,Kolkata,Furnished,Carpet Area,12000
600,1,1,Kolkata,Unfurnished,Super Area,5000
700,2,1,Kolkata,Semi-Furnished,Carpet Area,8500
300,1,1,Kolkata,Semi-Furnished,Super Area,6000
1300,2,2,Kolkata,Semi-Furnished,Super Area,10000
400,2,1,Kolkata,Semi-Furnished,Carpet Area,4600
650,2,2,Kolkata,Unfurnished,Super Area,12000
2000,3,2,Kolkata,Semi-Furnished,Super Area,30000
1068,3,2,Kolkata,Semi-Furnished,Super Area,15000
150,1,1,Kolkata,Furnished,Super Area,7500
450,1,1,Kolkata,Unfurnished,Carpet Area,7500
800,2,1,Kolkata,Unfurnished,Carpet Area,5000
1000,2,2,Kolkata,Unfurnished,Super Area,15000
900,2,1,Kolkata,Semi-Furnished,Super Area,11000
600,1,1,Kolkata,Unfurnished,Carpet Area,7000
1200,2,1,Kolkata,Unfurnished,Super Area,6000
1200,2,2,Kolkata,Semi-Furnished,Super Area,6000
650,2,2,Kolkata,Semi-Furnished,Super Area,7000
720,2,2,Kolkata,Semi-Furnished,Carpet Area,8500
300,1,1,Kolkata,Unfurnished,Carpet Area,5000
1200,3,3,Kolkata,Unfurnished,Carpet Area,30000
700,2,2,Kolkata,Unfurnished,Carpet Area,10000
2000,3,2,Kolkata,Semi-Furnished,Super Area,30000
250,1,1,Kolkata,Semi-Furnished,Super Area,3500
1100,2,1,Kolkata,Unfurnished,Carpet Area,8000
300,1,1,Kolkata,Unfurnished,Carpet Area,5000
600,2,1,Kolkata,Semi-Furnished,Super Area,7500
800,2,1,Kolkata,Unfurnished,Carpet Area,6500
680,1,1,Kolkata,Unfurnished,Super Area,7500
680,1,1,Kolkata,Unfurnished,Super Area,7500
850,2,1,Kolkata,Semi-Furnished,Carpet Area,16000
850,2,1,Kolkata,Semi-Furnished,Carpet Area,16000
700,2,1,Kolkata,Unfurnished,Super Area,6500
1500,3,2,Kolkata,Unfurnished,Super Area,40000
950,2,2,Kolkata,Semi-Furnished,Super Area,12500
500,2,1,Kolkata,Unfurnished,Super Area,5500
450,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
700,2,1,Kolkata,Unfurnished,Super Area,6500
500,1,1,Kolkata,Unfurnished,Super Area,8000
1800,3,2,Kolkata,Semi-Furnished,Super Area,14500
500,1,1,Kolkata,Semi-Furnished,Carpet Area,8200
480,2,2,Kolkata,Furnished,Carpet Area,15000
1000,6,2,Kolkata,Semi-Furnished,Super Area,20000
800,2,1,Kolkata,Furnished,Super Area,6700
435,1,1,Kolkata,Unfurnished,Super Area,10000
700,2,2,Kolkata,Semi-Furnished,Carpet Area,7000
800,2,1,Kolkata,Furnished,Super Area,22000
450,2,1,Kolkata,Unfurnished,Super Area,6500
550,2,1,Kolkata,Semi-Furnished,Carpet Area,8500
800,2,2,Kolkata,Unfurnished,Carpet Area,18000
550,2,2,Kolkata,Semi-Furnished,Carpet Area,12000
600,1,1,Kolkata,Furnished,Super Area,9000
500,1,1,Kolkata,Unfurnished,Super Area,6000
1000,2,2,Kolkata,Furnished,Super Area,20000
300,1,1,Kolkata,Unfurnished,Carpet Area,5000
1200,2,2,Kolkata,Furnished,Super Area,12000
500,2,1,Kolkata,Semi-Furnished,Carpet Area,10000
1200,4,2,Kolkata,Unfurnished,Super Area,18000
900,2,2,Kolkata,Semi-Furnished,Carpet Area,15000
1300,3,3,Kolkata,Unfurnished,Carpet Area,22000
1600,4,3,Kolkata,Unfurnished,Carpet Area,35000
1450,3,2,Kolkata,Unfurnished,Super Area,21000
1100,2,2,Kolkata,Furnished,Super Area,25000
950,2,2,Kolkata,Unfurnished,Carpet Area,180000
600,1,1,Kolkata,Unfurnished,Carpet Area,6000
700,2,2,Kolkata,Unfurnished,Carpet Area,14000
750,3,1,Kolkata,Unfurnished,Super Area,8000
1000,2,1,Kolkata,Unfurnished,Super Area,8000
220,1,1,Kolkata,Furnished,Super Area,6000
300,1,1,Kolkata,Semi-Furnished,Carpet Area,8000
300,1,1,Kolkata,Unfurnished,Carpet Area,6000
700,1,1,Kolkata,Semi-Furnished,Super Area,20000
800,3,2,Kolkata,Unfurnished,Super Area,12000
1600,3,2,Kolkata,Unfurnished,Super Area,15000
1000,2,2,Kolkata,Unfurnished,Carpet Area,14000
20,1,1,Kolkata,Unfurnished,Super Area,5000
400,2,1,Kolkata,Unfurnished,Carpet Area,7000
200,1,1,Kolkata,Furnished,Super Area,3900
840,3,2,Kolkata,Unfurnished,Carpet Area,14000
300,1,1,Kolkata,Unfurnished,Carpet Area,6300
550,2,2,Kolkata,Furnished,Carpet Area,13000
300,1,1,Kolkata,Unfurnished,Carpet Area,6800
800,2,2,Kolkata,Unfurnished,Super Area,8000
740,2,1,Kolkata,Unfurnished,Carpet Area,10000
1300,2,2,Kolkata,Unfurnished,Super Area,18000
650,2,1,Kolkata,Semi-Furnished,Super Area,8000
490,2,1,Kolkata,Semi-Furnished,Super Area,8000
250,1,1,Kolkata,Furnished,Super Area,4700
250,1,1,Kolkata,Furnished,Super Area,4700
450,1,1,Kolkata,Unfurnished,Super Area,4500
300,1,1,Kolkata,Semi-Furnished,Carpet Area,6000
750,2,2,Kolkata,Unfurnished,Super Area,16000
250,1,1,Kolkata,Furnished,Super Area,4700
751,2,1,Kolkata,Unfurnished,Carpet Area,14000
900,2,1,Kolkata,Semi-Furnished,Carpet Area,9000
400,2,1,Kolkata,Semi-Furnished,Carpet Area,5000
1000,2,2,Kolkata,Semi-Furnished,Carpet Area,17500
1000,2,1,Kolkata,Unfurnished,Carpet Area,8500
1500,3,2,Kolkata,Semi-Furnished,Carpet Area,15000
750,2,2,Kolkata,Unfurnished,Carpet Area,12500
1200,1,1,Kolkata,Semi-Furnished,Super Area,13000
700,2,1,Kolkata,Unfurnished,Super Area,8000
700,2,1,Kolkata,Furnished,Carpet Area,8000
1000,2,1,Kolkata,Semi-Furnished,Super Area,8000
1200,2,2,Kolkata,Unfurnished,Super Area,7000
550,2,1,Kolkata,Furnished,Super Area,2200
800,2,1,Kolkata,Unfurnished,Carpet Area,8000
280,2,1,Kolkata,Unfurnished,Super Area,5500
1100,3,3,Kolkata,Unfurnished,Super Area,20000
950,2,1,Kolkata,Unfurnished,Super Area,7000
250,1,1,Kolkata,Furnished,Super Area,3500
1000,2,1,Kolkata,Unfurnished,Carpet Area,5000
1000,3,2,Kolkata,Semi-Furnished,Carpet Area,20000
650,2,1,Kolkata,Unfurnished,Super Area,7000
700,2,2,Kolkata,Unfurnished,Super Area,10000
700,2,1,Kolkata,Unfurnished,Carpet Area,7000
1000,3,2,Kolkata,Semi-Furnished,Super Area,12000
900,2,2,Kolkata,Unfurnished,Carpet Area,14500
700,1,1,Kolkata,Unfurnished,Super Area,6000
700,2,2,Kolkata,Unfurnished,Super Area,9500
450,2,2,Kolkata,Semi-Furnished,Carpet Area,10000
120,1,1,Kolkata,Unfurnished,Super Area,3500
800,2,2,Kolkata,Semi-Furnished,Super Area,9000
1220,3,2,Kolkata,Unfurnished,Carpet Area,40000
1100,3,1,Kolkata,Unfurnished,Super Area,16500
700,3,2,Kolkata,Unfurnished,Carpet Area,8000
800,2,1,Kolkata,Furnished,Super Area,12000
670,2,1,Kolkata,Unfurnished,Super Area,6500
1300,4,3,Kolkata,Unfurnished,Super Area,40000
190,1,1,Kolkata,Semi-Furnished,Super Area,5000
700,2,1,Kolkata,Semi-Furnished,Super Area,9000
240,1,1,Kolkata,Unfurnished,Carpet Area,7000
850,2,1,Kolkata,Semi-Furnished,Carpet Area,18000
950,1,2,Kolkata,Unfurnished,Super Area,9000
450,1,1,Kolkata,Furnished,Carpet Area,5500
800,2,1,Kolkata,Unfurnished,Carpet Area,7500
600,2,1,Kolkata,Unfurnished,Carpet Area,4000
800,3,2,Kolkata,Unfurnished,Carpet Area,10500
1100,3,2,Kolkata,Unfurnished,Carpet Area,15000
800,2,1,Kolkata,Furnished,Carpet Area,15000
2200,1,3,Kolkata,Furnished,Super Area,50000
950,2,2,Kolkata,Unfurnished,Carpet Area,12000
550,2,1,Kolkata,Unfurnished,Carpet Area,11000
1800,2,2,Kolkata,Unfurnished,Carpet Area,12000
1000,2,1,Kolkata,Furnished,Super Area,8000
600,2,2,Kolkata,Semi-Furnished,Super Area,18000
750,2,2,Kolkata,Semi-Furnished,Carpet Area,8000
685,2,1,Kolkata,Unfurnished,Super Area,7000
44,1,1,Kolkata,Furnished,Carpet Area,6500
1200,4,1,Kolkata,Unfurnished,Carpet Area,13000
500,2,1,Kolkata,Unfurnished,Carpet Area,9000
1110,4,2,Kolkata,Unfurnished,Carpet Area,10000
1000,2,2,Kolkata,Unfurnished,Super Area,12000
392,2,1,Kolkata,Unfurnished,Super Area,5000
700,2,1,Kolkata,Unfurnished,Super Area,6000
750,1,1,Kolkata,Unfurnished,Super Area,5200
1500,3,2,Kolkata,Unfurnished,Super Area,15000
900,2,2,Kolkata,Unfurnished,Super Area,9000
710,1,1,Kolkata,Furnished,Super Area,24000
400,1,1,Kolkata,Unfurnished,Carpet Area,5500
700,1,1,Kolkata,Unfurnished,Carpet Area,10000
1000,2,1,Kolkata,Semi-Furnished,Carpet Area,15000
250,1,1,Kolkata,Furnished,Super Area,4700
500,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
450,2,1,Kolkata,Semi-Furnished,Carpet Area,5000
1400,3,1,Kolkata,Unfurnished,Super Area,15000
500,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
700,2,1,Kolkata,Unfurnished,Carpet Area,6000
1200,3,1,Kolkata,Semi-Furnished,Carpet Area,18000
450,2,1,Kolkata,Unfurnished,Carpet Area,8000
500,1,1,Kolkata,Furnished,Carpet Area,13000
400,2,1,Kolkata,Unfurnished,Carpet Area,7500
1000,3,2,Kolkata,Unfurnished,Super Area,12000
750,2,1,Kolkata,Unfurnished,Carpet Area,11000
450,1,1,Kolkata,Unfurnished,Super Area,6000
1000,3,2,Kolkata,Unfurnished,Carpet Area,20000
500,2,2,Kolkata,Unfurnished,Carpet Area,7000
1600,4,2,Kolkata,Unfurnished,Carpet Area,30000
550,2,1,Kolkata,Unfurnished,Carpet Area,7500
550,1,2,Kolkata,Unfurnished,Super Area,6500
200,1,1,Kolkata,Unfurnished,Super Area,3000
650,2,1,Kolkata,Unfurnished,Carpet Area,5200
1000,2,2,Kolkata,Furnished,Super Area,25000
680,2,2,Kolkata,Unfurnished,Carpet Area,12500
720,2,2,Kolkata,Unfurnished,Carpet Area,8500
500,2,1,Kolkata,Unfurnished,Carpet Area,3500
800,2,1,Kolkata,Unfurnished,Super Area,7000
160,1,1,Kolkata,Unfurnished,Super Area,3000
1200,2,2,Kolkata,Unfurnished,Carpet Area,14000
700,1,1,Kolkata,Furnished,Super Area,18000
1000,1,1,Kolkata,Semi-Furnished,Super Area,3500
1250,2,2,Kolkata,Unfurnished,Super Area,16000
1600,4,3,Kolkata,Unfurnished,Super Area,35000
700,2,1,Kolkata,Semi-Furnished,Super Area,21000
450,1,1,Kolkata,Unfurnished,Super Area,4500
839,2,2,Kolkata,Semi-Furnished,Super Area,15000
230,1,1,Kolkata,Unfurnished,Super Area,4500
1800,1,1,Kolkata,Unfurnished,Super Area,5500
800,2,2,Kolkata,Unfurnished,Super Area,8500
500,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
620,2,1,Kolkata,Unfurnished,Carpet Area,8500
650,2,1,Kolkata,Unfurnished,Carpet Area,9000
550,1,1,Kolkata,Semi-Furnished,Super Area,7500
450,2,2,Kolkata,Furnished,Carpet Area,7000
1350,3,2,Kolkata,Unfurnished,Carpet Area,15000
600,2,2,Kolkata,Semi-Furnished,Super Area,7000
1200,3,1,Kolkata,Furnished,Super Area,10000
700,2,1,Kolkata,Unfurnished,Super Area,7000
800,3,2,Kolkata,Furnished,Carpet Area,3200
600,2,1,Kolkata,Semi-Furnished,Carpet Area,6000
900,2,2,Kolkata,Unfurnished,Super Area,12000
750,2,1,Kolkata,Unfurnished,Super Area,6000
1250,3,2,Kolkata,Unfurnished,Super Area,10000
1000,3,3,Kolkata,Semi-Furnished,Super Area,12000
600,2,1,Kolkata,Semi-Furnished,Super Area,8000
650,2,1,Kolkata,Unfurnished,Carpet Area,5300
450,2,1,Kolkata,Unfurnished,Carpet Area,5000
800,3,2,Kolkata,Unfurnished,Super Area,8500
1000,3,2,Kolkata,Semi-Furnished,Carpet Area,22000
1000,2,1,Kolkata,Unfurnished,Super Area,7000
1400,3,3,Kolkata,Furnished,Carpet Area,25000
600,2,1,Kolkata,Semi-Furnished,Carpet Area,7000
723,2,1,Kolkata,Furnished,Carpet Area,15000
320,1,1,Kolkata,Unfurnished,Carpet Area,6000
900,2,1,Kolkata,Semi-Furnished,Super Area,8000
1400,3,2,Kolkata,Furnished,Carpet Area,40000
2160,1,1,Kolkata,Semi-Furnished,Super Area,6000
650,2,1,Kolkata,Semi-Furnished,Carpet Area,15000
800,2,1,Kolkata,Semi-Furnished,Super Area,6500
800,3,1,Kolkata,Semi-Furnished,Super Area,8000
500,1,1,Kolkata,Unfurnished,Carpet Area,5500
1700,3,2,Kolkata,Semi-Furnished,Super Area,9000
130,1,1,Kolkata,Semi-Furnished,Carpet Area,6000
505,1,1,Kolkata,Furnished,Super Area,15000
4000,4,3,Kolkata,Furnished,Super Area,30000
1250,3,2,Kolkata,Unfurnished,Super Area,30000
700,1,1,Kolkata,Unfurnished,Carpet Area,5000
900,2,1,Kolkata,Unfurnished,Super Area,15000
650,1,1,Kolkata,Semi-Furnished,Super Area,6500
750,2,1,Kolkata,Furnished,Super Area,4500
450,2,1,Kolkata,Unfurnished,Carpet Area,7000
350,1,1,Kolkata,Semi-Furnished,Carpet Area,6500
480,1,2,Kolkata,Furnished,Carpet Area,17500
900,2,1,Kolkata,Unfurnished,Super Area,10000
200,1,1,Kolkata,Semi-Furnished,Super Area,1500
1100,3,3,Kolkata,Unfurnished,Super Area,25000
800,2,1,Kolkata,Unfurnished,Carpet Area,12000
1000,3,2,Kolkata,Furnished,Carpet Area,7500
800,1,1,Kolkata,Unfurnished,Carpet Area,7000
200,1,1,Kolkata,Semi-Furnished,Super Area,3500
1190,3,2,Kolkata,Unfurnished,Carpet Area,10000
900,2,2,Kolkata,Unfurnished,Carpet Area,14000
1500,2,2,Kolkata,Unfurnished,Super Area,15000
600,2,1,Kolkata,Unfurnished,Super Area,6500
800,3,1,Kolkata,Unfurnished,Super Area,10000
800,2,2,Kolkata,Unfurnished,Carpet Area,10500
900,3,2,Kolkata,Semi-Furnished,Carpet Area,10000
350,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
800,2,1,Kolkata,Unfurnished,Carpet Area,9000
1600,2,2,Kolkata,Unfurnished,Carpet Area,20000
1012,3,2,Kolkata,Semi-Furnished,Carpet Area,35000
1200,3,2,Kolkata,Unfurnished,Carpet Area,15000
700,2,1,Kolkata,Furnished,Super Area,20000
1000,2,1,Kolkata,Semi-Furnished,Super Area,12000
800,2,1,Kolkata,Unfurnished,Carpet Area,8000
500,1,1,Kolkata,Semi-Furnished,Super Area,3000
1200,3,2,Kolkata,Semi-Furnished,Carpet Area,20000
450,1,1,Kolkata,Unfurnished,Carpet Area,9000
950,3,2,Kolkata,Unfurnished,Carpet Area,13000
350,1,1,Kolkata,Unfurnished,Carpet Area,7000
450,1,1,Kolkata,Unfurnished,Carpet Area,9000
550,1,1,Kolkata,Semi-Furnished,Carpet Area,9000
300,2,1,Kolkata,Unfurnished,Carpet Area,10000
1250,3,2,Kolkata,Semi-Furnished,Super Area,15000
700,2,1,Kolkata,Unfurnished,Super Area,7000
812,3,2,Kolkata,Unfurnished,Super Area,8000
550,2,1,Kolkata,Unfurnished,Super Area,8000
500,1,1,Kolkata,Semi-Furnished,Super Area,5000
320,1,1,Kolkata,Furnished,Carpet Area,14000
600,2,1,Kolkata,Unfurnished,Super Area,5000
420,2,1,Kolkata,Unfurnished,Carpet Area,5000
1100,3,1,Kolkata,Unfurnished,Super Area,12000
220,1,1,Kolkata,Unfurnished,Super Area,3200
700,2,2,Kolkata,Semi-Furnished,Carpet Area,8500
1200,3,2,Kolkata,Unfurnished,Carpet Area,16000
800,2,2,Kolkata,Unfurnished,Carpet Area,14000
300,1,1,Kolkata,Furnished,Carpet Area,8000
650,2,1,Kolkata,Unfurnished,Carpet Area,7000
600,1,1,Kolkata,Furnished,Super Area,8000
350,1,1,Kolkata,Unfurnished,Super Area,3000
500,1,1,Kolkata,Unfurnished,Carpet Area,3800
400,1,1,Kolkata,Unfurnished,Super Area,6500
1750,3,3,Kolkata,Semi-Furnished,Super Area,20000
1600,3,2,Kolkata,Unfurnished,Super Area,30000
300,1,1,Kolkata,Semi-Furnished,Carpet Area,8000
1100,2,2,Kolkata,Semi-Furnished,Super Area,14000
830,2,1,Kolkata,Unfurnished,Super Area,7200
600,2,2,Kolkata,Semi-Furnished,Carpet Area,7000
500,1,2,Kolkata,Unfurnished,Super Area,7000
900,2,1,Kolkata,Unfurnished,Carpet Area,7500
1250,2,2,Kolkata,Unfurnished,Carpet Area,8500
700,2,1,Kolkata,Unfurnished,Carpet Area,12000
850,1,2,Kolkata,Unfurnished,Carpet Area,8500
550,2,1,Kolkata,Unfurnished,Carpet Area,9500
550,2,2,Kolkata,Furnished,Carpet Area,7500
1200,2,1,Kolkata,Unfurnished,Super Area,12000
1100,3,2,Kolkata,Unfurnished,Carpet Area,20000
650,2,1,Kolkata,Semi-Furnished,Super Area,8500
1050,3,2,Kolkata,Unfurnished,Carpet Area,20000
960,2,2,Kolkata,Semi-Furnished,Super Area,6000
650,2,2,Kolkata,Unfurnished,Carpet Area,5500
550,1,1,Kolkata,Semi-Furnished,Super Area,7000
500,2,2,Kolkata,Semi-Furnished,Super Area,7000
450,1,1,Kolkata,Unfurnished,Super Area,6500
850,2,2,Kolkata,Unfurnished,Super Area,10000
300,1,1,Kolkata,Unfurnished,Carpet Area,5200
1000,2,3,Kolkata,Semi-Furnished,Carpet Area,13000
500,2,1,Kolkata,Unfurnished,Carpet Area,7000
756,2,1,Kolkata,Semi-Furnished,Carpet Area,12000
1000,1,1,Kolkata,Unfurnished,Super Area,15000
150,1,1,Kolkata,Unfurnished,Carpet Area,5000
800,1,1,Kolkata,Unfurnished,Carpet Area,8000
700,2,2,Kolkata,Unfurnished,Super Area,8000
420,1,1,Kolkata,Unfurnished,Super Area,5000
800,2,1,Kolkata,Unfurnished,Super Area,10000
288,2,1,Kolkata,Unfurnished,Carpet Area,12000
900,2,2,Kolkata,Unfurnished,Super Area,8000
850,2,2,Kolkata,Unfurnished,Carpet Area,21000
350,1,1,Kolkata,Unfurnished,Carpet Area,5000
600,2,1,Kolkata,Unfurnished,Super Area,9000
1600,2,1,Kolkata,Semi-Furnished,Carpet Area,8000
986,2,1,Kolkata,Unfurnished,Carpet Area,7000
1330,3,2,Kolkata,Unfurnished,Carpet Area,35000
1300,3,2,Kolkata,Semi-Furnished,Super Area,15000
800,2,1,Kolkata,Unfurnished,Carpet Area,6200
800,2,1,Kolkata,Unfurnished,Carpet Area,9900
850,2,1,Kolkata,Unfurnished,Super Area,7000
322,1,1,Kolkata,Unfurnished,Carpet Area,5000
800,2,1,Kolkata,Furnished,Carpet Area,6500
1500,4,2,Kolkata,Unfurnished,Carpet Area,40000
3500,3,2,Kolkata,Semi-Furnished,Super Area,40000
957,2,2,Kolkata,Furnished,Carpet Area,12000
850,1,1,Kolkata,Unfurnished,Carpet Area,6500
900,2,2,Kolkata,Unfurnished,Carpet Area,10000
600,2,1,Kolkata,Semi-Furnished,Super Area,15000
350,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
800,2,1,Kolkata,Unfurnished,Super Area,7000
320,2,1,Kolkata,Unfurnished,Carpet Area,6000
800,3,1,Kolkata,Unfurnished,Carpet Area,15000
700,2,2,Kolkata,Semi-Furnished,Carpet Area,10000
1200,2,2,Kolkata,Semi-Furnished,Super Area,22000
750,2,1,Kolkata,Semi-Furnished,Carpet Area,8500
1200,3,3,Kolkata,Semi-Furnished,Super Area,35000
450,2,1,Kolkata,Unfurnished,Carpet Area,7000
1430,3,1,Kolkata,Semi-Furnished,Super Area,8500
450,2,1,Kolkata,Unfurnished,Super Area,6000
800,4,3,Kolkata,Semi-Furnished,Super Area,35000
400,1,1,Kolkata,Unfurnished,Super Area,6000
650,2,1,Kolkata,Unfurnished,Super Area,8000
450,1,1,Kolkata,Unfurnished,Carpet Area,5000
600,2,1,Kolkata,Unfurnished,Super Area,6000
1200,3,2,Kolkata,Unfurnished,Carpet Area,15000
700,2,1,Kolkata,Unfurnished,Carpet Area,9000
300,1,1,Kolkata,Unfurnished,Carpet Area,5000
1200,3,3,Kolkata,Unfurnished,Super Area,8000
1300,3,2,Kolkata,Unfurnished,Carpet Area,35000
400,1,1,Kolkata,Unfurnished,Super Area,5500
1320,3,2,Kolkata,Unfurnished,Carpet Area,35000
1000,2,2,Kolkata,Furnished,Super Area,11000
700,2,1,Kolkata,Unfurnished,Carpet Area,10000
800,2,2,Kolkata,Unfurnished,Carpet Area,6500
900,2,1,Kolkata,Furnished,Super Area,6000
1700,3,2,Kolkata,Unfurnished,Super Area,36125
600,2,1,Kolkata,Unfurnished,Carpet Area,6800
850,2,2,Kolkata,Unfurnished,Carpet Area,8500
550,2,1,Kolkata,Unfurnished,Carpet Area,5000
650,1,1,Kolkata,Furnished,Carpet Area,6500
800,1,1,Kolkata,Unfurnished,Carpet Area,6500
475,2,1,Kolkata,Unfurnished,Super Area,4500
200,1,1,Kolkata,Unfurnished,Carpet Area,6000
400,1,1,Kolkata,Unfurnished,Carpet Area,10000
500,1,1,Kolkata,Furnished,Super Area,12000
550,2,1,Kolkata,Unfurnished,Carpet Area,12000
800,2,1,Kolkata,Unfurnished,Super Area,12000
1000,2,2,Kolkata,Furnished,Super Area,9000
400,1,1,Kolkata,Semi-Furnished,Carpet Area,5000
300,1,1,Kolkata,Unfurnished,Carpet Area,6000
450,2,1,Kolkata,Unfurnished,Carpet Area,5500
450,2,1,Kolkata,Unfurnished,Carpet Area,5500
1100,2,2,Kolkata,Unfurnished,Carpet Area,8500
450,1,1,Kolkata,Unfurnished,Super Area,5000
1100,2,2,Kolkata,Unfurnished,Carpet Area,23000
650,2,1,Kolkata,Unfurnished,Carpet Area,5500
780,2,1,Kolkata,Unfurnished,Carpet Area,8500
1100,3,2,Kolkata,Semi-Furnished,Super Area,22000
800,1,1,Kolkata,Unfurnished,Super Area,5500
500,1,2,Kolkata,Semi-Furnished,Super Area,7000
400,1,1,Kolkata,Unfurnished,Carpet Area,5000
450,1,1,Kolkata,Unfurnished,Carpet Area,5000
550,2,1,Kolkata,Unfurnished,Super Area,6500
600,2,1,Kolkata,Unfurnished,Carpet Area,8000
200,1,1,Kolkata,Unfurnished,Super Area,5500
500,2,1,Kolkata,Semi-Furnished,Carpet Area,6000
450,1,1,Kolkata,Unfurnished,Carpet Area,5500
1050,2,2,Kolkata,Unfurnished,Super Area,10000
1000,3,2,Kolkata,Unfurnished,Carpet Area,10000
1200,2,2,Kolkata,Semi-Furnished,Super Area,10000
1100,3,2,Kolkata,Semi-Furnished,Super Area,12000
220,1,1,Kolkata,Unfurnished,Super Area,5200
350,1,1,Kolkata,Unfurnished,Super Area,4000
1100,3,1,Kolkata,Unfurnished,Carpet Area,30000
800,2,1,Kolkata,Unfurnished,Super Area,5146
950,2,1,Kolkata,Unfurnished,Super Area,12000
1200,3,1,Kolkata,Unfurnished,Super Area,7000
700,2,1,Kolkata,Semi-Furnished,Super Area,8500
500,1,1,Kolkata,Unfurnished,Super Area,7000
570,2,1,Kolkata,Unfurnished,Super Area,9500
650,2,1,Kolkata,Unfurnished,Super Area,8000
1200,3,3,Kolkata,Unfurnished,Super Area,15000
960,5,2,Kolkata,Unfurnished,Super Area,22500
1250,2,2,Kolkata,Semi-Furnished,Super Area,12500
120,3,2,Kolkata,Furnished,Super Area,34000
950,3,2,Kolkata,Semi-Furnished,Carpet Area,14000
600,1,1,Kolkata,Unfurnished,Carpet Area,9500
750,2,1,Kolkata,Unfurnished,Super Area,7000
1200,3,2,Kolkata,Unfurnished,Super Area,20000
400,1,1,Kolkata,Semi-Furnished,Carpet Area,6500
600,1,1,Kolkata,Furnished,Carpet Area,7500
700,2,1,Kolkata,Unfurnished,Super Area,6500
850,2,1,Kolkata,Semi-Furnished,Super Area,9500
500,1,1,Kolkata,Semi-Furnished,Super Area,1800
650,2,1,Kolkata,Unfurnished,Carpet Area,7500
800,2,2,Kolkata,Semi-Furnished,Super Area,10000
830,3,2,Kolkata,Unfurnished,Super Area,15000
600,2,1,Kolkata,Unfurnished,Super Area,7000
800,2,1,Kolkata,Unfurnished,Super Area,6000
1200,2,2,Kolkata,Semi-Furnished,Super Area,14000
1000,2,2,Kolkata,Furnished,Super Area,22000
750,2,2,Kolkata,Unfurnished,Carpet Area,18000
800,2,2,Kolkata,Unfurnished,Carpet Area,10000
1200,2,2,Kolkata,Unfurnished,Super Area,6000
750,2,1,Kolkata,Unfurnished,Carpet Area,10000
1500,3,2,Kolkata,Semi-Furnished,Super Area,10000
300,1,1,Kolkata,Unfurnished,Super Area,5000
800,3,1,Kolkata,Unfurnished,Carpet Area,10000
450,2,2,Kolkata,Unfurnished,Super Area,7000
